food_name,category,healthy,long_covid,me_cfs,mcas,pots,notes
"Strudel, cherry",Other fruits,ok,ok,ok,caution,neutral,"Apple, banana, mango generally ok; varies by fruit"
"Strudel, cheese",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Strudel, peach",Other fruits,ok,ok,ok,caution,neutral,"Apple, banana, mango generally ok; varies by fruit"
Baklava,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Basbousa,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Turnover, fruit",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pastry, fruit-filled",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pastry, made with bean or lotus seed paste filling, baked","Legumes (beans, lentils)",ok,ok,ok,ok,neutral,Generally ok; introduce slowly for gut tolerance
"Pastry, made with bean paste and salted egg yolk filling, baked",Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
"Pastry, Chinese, made with rice flour",Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
"Pastry, cookie type, fried",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pastry, Italian, with cheese",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Pastry, puff",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pastry, puff, custard or cream filled, iced or not iced",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
Cheese pastry puffs,Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Pastry, mainly flour and water, fried",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Empanada, fruit",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Breakfast pastry, NFS",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Danish pastry, plain or spice",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Danish pastry, with fruit",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Danish pastry, with cheese",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Doughnut, NFS",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, cake type, plain",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, chocolate",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, cake type, powdered sugar",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, cake type, with icing",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, cake type, chocolate icing",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, chocolate, with chocolate icing",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
Doughnut holes,Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
Churros,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Beignet,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Doughnut, yeast type",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, yeast type, with chocolate icing",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, jelly",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, custard-filled",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Doughnut, custard-filled, with icing",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
Breakfast tart,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Breakfast tart, lowfat",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Coffee cake, crumb or quick-bread type",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Coffee cake, crumb or quick-bread type, with fruit",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Coffee cake, crumb or quick-bread type, cheese-filled",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
Cereal or granola bar (General Mills Fiber One Chewy Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Milk 'n Cereal bar,Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
Cereal or granola bar (Kellogg's Special K bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Kashi Chewy),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Kashi Crunchy),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (KIND Fruit and Nut Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Quaker Chewy Granola Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
Cereal or granola bar (Quaker Granola Bites),Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Snack bar, oatmeal",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or Granola bar, NFS",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, lowfat, NFS",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, nonfat",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, reduced sugar, NFS",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, fruit and nut",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, peanuts , oats, sugar, wheat germ",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, chocolate coated, NFS",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, with coconut, chocolate coated",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar with nuts, chocolate coated",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, coated with non-chocolate coating",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Cereal or granola bar, with rice cereal",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Breakfast bar, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Breakfast bar, date, with yogurt coating",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Breakfast bar, cereal crust with fruit filling, lowfat",Breakfast cereals,ok,caution,caution,caution,neutral,Often high sugar and additives
Nutrition bar (Balance Original Bar),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Nutrition bar (Clif Bar),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Nutrition bar (Clif Kids Organic Zbar),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Nutrition bar (PowerBar),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Nutrition bar (Slim Fast Original Meal Bar),Nutritional / protein shakes,ok,ok,ok,caution,neutral,"Check for additives, artificial sweeteners, soy"
Nutrition bar (Snickers Marathon Protein Bar),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Nutrition bar (South Beach Living Meal Bar),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Nutrition bar (South Beach Living High Protein Bar),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Nutrition bar (Tiger's Milk),Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
Nutrition bar (Zone Perfect Classic Crunch),Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Nutrition bar or meal replacement bar, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Baby Toddler snack, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Baby Toddler bar,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Baby Toddler cookie,Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
Baby Toddler biscuit,Bread & baked goods,ok,caution,caution,caution,neutral,Commercial bread often has additives; sourdough higher histamine
"Crackers, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Graham crackers,Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
Graham crackers (Teddy Grahams),Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Graham crackers, chocolate covered",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Crackers, oatmeal",Oats / oatmeal,ok,ok,ok,ok,neutral,Low histamine; good for gut microbiome
"Crackers, Cuban",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Graham crackers, reduced fat",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Graham crackers, sandwich, with filling",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Crackers, breakfast biscuit",Bread & baked goods,ok,caution,caution,caution,neutral,Commercial bread often has additives; sourdough higher histamine
"Crackers, butter, reduced sodium",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, matzo, reduced sodium",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, saltine, reduced sodium",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, wheat, reduced sodium",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, woven wheat, reduced sodium",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, butter, plain",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, butter, flavored",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, butter (Ritz)",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, butter, reduced fat",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, cheese",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, cheese (Cheez-It)",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, cheese (Goldfish)",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, cheese, reduced fat",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, cheese, reduced sodium",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, cheese, whole grain",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, crispbread",Bread & baked goods,ok,caution,caution,caution,neutral,Commercial bread often has additives; sourdough higher histamine
"Crackers, flatbread",Bread & baked goods,ok,caution,caution,caution,neutral,Commercial bread often has additives; sourdough higher histamine
"Crackers, matzo",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Crackers, oyster",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Chips, rice",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
Rice cake,Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
"Crackers, rice",Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
"Crackers, rice and nuts",Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
Popcorn cake,Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
Rice paper,Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
"Crackers, saltine",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, saltine, reduced fat",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, saltine, multigrain",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, multigrain",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, sandwich",Fast food / mixed dishes,caution,avoid,avoid,caution,neutral,"Ultra-processed; seed oils, additives, high sodium"
"Crackers, sandwich, peanut butter filled",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, sandwich, peanut butter filled (Ritz)",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, sandwich, reduced fat, peanut butter filled",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, whole grain, sandwich, peanut butter filled",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Crackers, sandwich, cheese filled",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, sandwich, cheese filled (Ritz)",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Crackers, water",Water,ok,ok,ok,ok,ok,Essential; POTS requires 3 L/day
"Crackers, wonton",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, woven wheat",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, woven wheat, plain (Triscuit)",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, woven wheat, flavored (Triscuit)",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, woven wheat, reduced fat",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, wheat",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, wheat, plain (Wheat Thins)",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, wheat, flavored (Wheat Thins)",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, wheat, reduced fat",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, gluten free, plain",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Crackers, gluten free, flavored",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Baby Toddler crackers,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Baby Toddler puffs, fruit",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Baby Toddler puffs, vegetable",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Baby Toddler crunchies,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Baby Toddler wheels,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Corn nuts,Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Corn chips, plain",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Corn chips, flavored",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Corn chips, plain (Fritos)",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Corn chips, flavored (Fritos)",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
Cheese flavored corn snacks,Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese flavored corn snacks, reduced fat",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Tortilla chips, plain",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
Cheese flavored corn snacks (Cheetos),Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Tortilla chips, flavored",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Corn chips, reduced sodium",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Tortilla chips, nacho cheese flavor (Doritos)",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Tortilla chips, cool ranch flavor (Doritos)",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Tortilla chips, other flavors (Doritos)",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Tortilla chips, reduced fat, plain",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Tortilla chips, reduced fat, flavored",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Tortilla chips, low fat, unsalted",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Tortilla chips, reduced sodium",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
Snack mix,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Potato chips, restructured, multigrain",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
Pita chips,Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Popcorn, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, movie theater, with added butter",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, movie theater, no butter added",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, air-popped, no butter added",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, air-popped, with added butter",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, popped in oil, no butter added",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, popped in oil, with added butter",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, microwave, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, microwave, plain",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, microwave, plain, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, microwave, low sodium",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, microwave, butter flavored",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, microwave, flavored, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, microwave, cheese flavored",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Popcorn, microwave, kettle",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, ready-to-eat, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, ready-to-eat, plain",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, ready-to-eat, plain, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, ready-to-eat, low sodium",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, ready-to-eat, butter flavored",Butter / margarine / fats,ok,ok,ok,caution,neutral,Butter ok; margarine has trans fats and additives
"Popcorn, ready-to-eat, cheese flavored",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Popcorn, ready-to-eat, flavored, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, ready-to-eat, kettle",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, caramel coated",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Popcorn, caramel coated, with nuts",Nuts,ok,ok,ok,caution,neutral,Walnuts/almonds ok; some nuts can trigger MCAS
"Popcorn, chocolate coated",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Popcorn chips, plain",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Popcorn chips, other flavors",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Popcorn chips, sweet flavors",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
Onion flavored rings,"Alliums (garlic, onion)",ok,ok,ok,caution,neutral,Generally ok; some MCAS patients sensitive
Shrimp chips,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Pretzels, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, plain, salted",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, plain, lightly salted",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, plain, unsalted",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, flavored",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, multigrain",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, plain, gluten free",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, flavored, gluten free",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzel chips, hard, plain",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Pretzel chips, hard, flavored",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Pretzel chips, hard, gluten free",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
"Pretzels, hard, coated, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pretzels, hard, chocolate coated",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pretzels, hard, white chocolate coated",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pretzels, hard, yogurt coated",Yogurt (all types),ok,ok,caution,avoid,neutral,Fermented dairy; histamine varies by type
"Pretzels, hard, coated, gluten free",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
